"order_item_id";"created_at";"order_id";"price_usd";"cogs_usd";"website_session_id";"product_id";"is_primary_item"
1;"2012-03-19 10:42:46";1;49.99;19.49;20;1;1
2;"2012-03-19 19:27:37";2;49.99;19.49;104;1;1
3;"2012-03-20 06:44:45";3;49.99;19.49;147;1;1
4;"2012-03-20 09:41:45";4;49.99;19.49;160;1;1
5;"2012-03-20 11:28:15";5;49.99;19.49;177;1;1
6;"2012-03-20 16:12:47";6;49.99;19.49;232;1;1
7;"2012-03-20 17:03:41";7;49.99;19.49;241;1;1
8;"2012-03-20 23:35:27";8;49.99;19.49;295;1;1
9;"2012-03-21 02:35:01";9;49.99;19.49;304;1;1
10;"2012-03-21 06:45:58";10;49.99;19.49;317;1;1
11;"2012-03-21 07:28:02";11;49.99;19.49;321;1;1
12;"2012-03-21 08:21:33";12;49.99;19.49;327;1;1
13;"2012-03-21 08:45:32";13;49.99;19.49;332;1;1
14;"2012-03-21 09:12:05";14;49.99;19.49;336;1;1
15;"2012-03-21 16:40:06";15;49.99;19.49;428;1;1
16;"2012-03-21 17:13:05";16;49.99;19.49;434;1;1
17;"2012-03-21 20:28:11";17;49.99;19.49;465;1;1
18;"2012-03-22 06:15:33";18;49.99;19.49;507;1;1
19;"2012-03-22 10:03:49";19;49.99;19.49;536;1;1
20;"2012-03-22 17:49:57";20;49.99;19.49;615;1;1
21;"2012-03-22 20:33:40";21;49.99;19.49;639;1;1
22;"2012-03-23 12:09:46";22;49.99;19.49;732;1;1
23;"2012-03-23 14:16:23";23;49.99;19.49;750;1;1
24;"2012-03-23 17:14:48";24;49.99;19.49;783;1;1
25;"2012-03-24 09:21:40";25;49.99;19.49;844;1;1
26;"2012-03-25 08:32:41";26;49.99;19.49;908;1;1
27;"2012-03-25 08:51:27";27;49.99;19.49;909;1;1
28;"2012-03-25 16:00:12";28;49.99;19.49;940;1;1
29;"2012-03-25 21:23:16";29;49.99;19.49;954;1;1
30;"2012-03-26 10:03:39";30;49.99;19.49;1018;1;1
31;"2012-03-26 10:25:44";31;49.99;19.49;1023;1;1
32;"2012-03-26 14:13:56";32;49.99;19.49;1059;1;1
33;"2012-03-26 16:00:19";33;49.99;19.49;1081;1;1
34;"2012-03-26 17:55:25";34;49.99;19.49;1094;1;1
35;"2012-03-26 18:06:39";35;49.99;19.49;1098;1;1
36;"2012-03-26 18:54:41";36;49.99;19.49;1105;1;1
37;"2012-03-26 19:19:25";37;49.99;19.49;1107;1;1
38;"2012-03-26 21:13:07";38;49.99;19.49;1125;1;1
39;"2012-03-27 15:18:43";39;49.99;19.49;1243;1;1
40;"2012-03-27 16:53:30";40;49.99;19.49;1256;1;1
41;"2012-03-28 08:30:06";41;49.99;19.49;1330;1;1
42;"2012-03-28 09:56:58";42;49.99;19.49;1343;1;1
43;"2012-03-28 16:55:52";43;49.99;19.49;1419;1;1
44;"2012-03-28 21:24:10";44;49.99;19.49;1454;1;1
45;"2012-03-28 22:45:52";45;49.99;19.49;1463;1;1
46;"2012-03-29 16:11:05";46;49.99;19.49;1581;1;1
47;"2012-03-29 17:49:07";47;49.99;19.49;1605;1;1
48;"2012-03-29 23:09:30";48;49.99;19.49;1643;1;1
49;"2012-03-30 00:25:18";49;49.99;19.49;1646;1;1
50;"2012-03-30 02:27:35";50;49.99;19.49;1654;1;1
51;"2012-03-30 10:06:25";51;49.99;19.49;1685;1;1
52;"2012-03-30 10:24:06";52;49.99;19.49;1691;1;1
53;"2012-03-30 12:47:30";53;49.99;19.49;1709;1;1
54;"2012-03-30 14:26:49";54;49.99;19.49;1726;1;1
55;"2012-03-30 14:39:09";55;49.99;19.49;1729;1;1
56;"2012-03-31 00:22:18";56;49.99;19.49;1790;1;1
57;"2012-03-31 02:32:43";57;49.99;19.49;1802;1;1
58;"2012-03-31 06:40:10";58;49.99;19.49;1807;1;1
59;"2012-03-31 10:25:39";59;49.99;19.49;1823;1;1
60;"2012-03-31 19:24:33";60;49.99;19.49;1863;1;1
61;"2012-04-01 06:45:11";61;49.99;19.49;1890;1;1
62;"2012-04-01 12:38:27";62;49.99;19.49;1912;1;1
63;"2012-04-01 17:33:26";63;49.99;19.49;1939;1;1
64;"2012-04-01 18:26:19";64;49.99;19.49;1944;1;1
65;"2012-04-02 11:07:48";65;49.99;19.49;2036;1;1
66;"2012-04-02 16:32:15";66;49.99;19.49;2089;1;1
67;"2012-04-02 17:17:42";67;49.99;19.49;2102;1;1
68;"2012-04-02 18:36:27";68;49.99;19.49;2115;1;1
69;"2012-04-03 10:29:20";69;49.99;19.49;2210;1;1
70;"2012-04-03 11:53:36";70;49.99;19.49;2231;1;1
71;"2012-04-03 15:03:48";71;49.99;19.49;2262;1;1
72;"2012-04-03 16:31:50";72;49.99;19.49;2291;1;1
73;"2012-04-03 16:36:02";73;49.99;19.49;2295;1;1
74;"2012-04-03 19:09:43";74;49.99;19.49;2325;1;1
75;"2012-04-04 07:47:38";75;49.99;19.49;2392;1;1
76;"2012-04-04 11:13:55";76;49.99;19.49;2422;1;1
77;"2012-04-04 11:34:52";77;49.99;19.49;2431;1;1
78;"2012-04-04 18:21:44";78;49.99;19.49;2514;1;1
79;"2012-04-04 19:00:06";79;49.99;19.49;2522;1;1
80;"2012-04-05 10:34:00";80;49.99;19.49;2624;1;1
81;"2012-04-05 13:15:34";81;49.99;19.49;2668;1;1
82;"2012-04-05 20:11:27";82;49.99;19.49;2770;1;1
83;"2012-04-06 04:04:23";83;49.99;19.49;2810;1;1
84;"2012-04-06 12:16:39";84;49.99;19.49;2879;1;1
85;"2012-04-06 17:13:09";85;49.99;19.49;2942;1;1
86;"2012-04-06 22:48:48";86;49.99;19.49;2982;1;1
87;"2012-04-07 04:47:20";87;49.99;19.49;3000;1;1
88;"2012-04-07 16:15:03";88;49.99;19.49;3040;1;1
89;"2012-04-07 16:55:38";89;49.99;19.49;3044;1;1
90;"2012-04-08 02:25:16";90;49.99;19.49;3077;1;1
91;"2012-04-08 05:52:53";91;49.99;19.49;3082;1;1
