website_pageview_id,created_at,website_session_id,pageview_url
473161,"2014-02-16 21:17:22",199159,/the-original-mr-fuzzy
473162,"2014-02-16 21:17:43",199163,/home
473163,"2014-02-16 21:19:09",199164,/home
473164,"2014-02-16 21:19:54",199162,/products
473165,"2014-02-16 21:23:45",199164,/products
473166,"2014-02-16 21:29:50",199165,/lander-2
473167,"2014-02-16 21:35:10",199165,/products
473168,"2014-02-16 21:37:38",199165,/the-original-mr-fuzzy
473169,"2014-02-16 21:42:07",199166,/lander-3
473170,"2014-02-16 21:43:05",199166,/products
473171,"2014-02-16 21:44:08",199167,/lander-4
473172,"2014-02-16 21:46:32",199166,/the-forever-love-bear
473173,"2014-02-16 21:49:39",199167,/products
473174,"2014-02-16 21:49:55",199166,/cart
473175,"2014-02-16 21:50:13",199168,/lander-2
473176,"2014-02-16 21:50:26",199167,/the-original-mr-fuzzy
473177,"2014-02-16 21:51:14",199169,/lander-4
473178,"2014-02-16 21:51:50",199166,/shipping
473179,"2014-02-16 21:53:12",199169,/products
473180,"2014-02-16 21:55:19",199169,/the-original-mr-fuzzy
473181,"2014-02-16 22:06:35",199170,/lander-3
473182,"2014-02-16 22:06:58",199171,/lander-4
473183,"2014-02-16 22:08:21",199172,/lander-2
473184,"2014-02-16 22:09:54",199173,/lander-3
473185,"2014-02-16 22:13:17",199174,/lander-4
473186,"2014-02-16 22:14:26",199174,/products
473187,"2014-02-16 22:18:02",199174,/the-forever-love-bear
473188,"2014-02-16 22:25:28",199175,/lander-4
473189,"2014-02-16 22:46:09",199176,/home
473190,"2014-02-16 22:46:54",199177,/lander-3
473191,"2014-02-16 22:47:42",199176,/products
473192,"2014-02-16 22:52:43",199178,/home
473193,"2014-02-16 22:57:06",199178,/products
473194,"2014-02-16 22:58:19",199179,/lander-3
473195,"2014-02-16 22:59:39",199178,/the-original-mr-fuzzy
473196,"2014-02-16 23:05:04",199180,/lander-3
473197,"2014-02-16 23:08:34",199181,/home
473198,"2014-02-16 23:12:07",199181,/products
473199,"2014-02-16 23:13:50",199181,/the-birthday-sugar-panda
473200,"2014-02-16 23:14:15",199182,/lander-2
473201,"2014-02-16 23:16:59",199183,/home
473202,"2014-02-16 23:18:08",199184,/lander-3
473203,"2014-02-16 23:22:22",199183,/products
