website_pageview_id,created_at,website_session_id,pageview_url
550801,"2014-04-16 15:45:36",231082,/thank-you-for-your-order
550802,"2014-04-16 15:45:43",231087,/products
550803,"2014-04-16 15:45:46",231097,/products
550804,"2014-04-16 15:45:53",231080,/billing-2
550805,"2014-04-16 15:45:58",231090,/products
550806,"2014-04-16 15:46:15",231098,/lander-4
550807,"2014-04-16 15:46:27",231099,/lander-4
550808,"2014-04-16 15:47:03",231100,/lander-4
550809,"2014-04-16 15:47:15",231091,/products
550810,"2014-04-16 15:48:03",231097,/the-original-mr-fuzzy
550811,"2014-04-16 15:48:07",231092,/products
550812,"2014-04-16 15:49:22",231101,/lander-2
550813,"2014-04-16 15:49:27",231092,/the-original-mr-fuzzy
550814,"2014-04-16 15:49:41",231090,/the-original-mr-fuzzy
550815,"2014-04-16 15:49:51",231097,/cart
550816,"2014-04-16 15:50:06",231099,/products
550817,"2014-04-16 15:50:49",231100,/products
550818,"2014-04-16 15:51:34",231091,/the-original-mr-fuzzy
550819,"2014-04-16 15:52:33",231092,/cart
550820,"2014-04-16 15:52:43",231102,/lander-2
550821,"2014-04-16 15:52:52",231099,/the-original-mr-fuzzy
550822,"2014-04-16 15:53:07",231100,/the-birthday-sugar-panda
550823,"2014-04-16 15:53:34",231102,/products
550824,"2014-04-16 15:53:37",231101,/products
550825,"2014-04-16 15:53:44",231097,/shipping
550826,"2014-04-16 15:54:47",231091,/cart
550827,"2014-04-16 15:55:48",231103,/home
550828,"2014-04-16 15:55:49",231099,/cart
550829,"2014-04-16 15:56:21",231104,/lander-3
550830,"2014-04-16 15:56:31",231105,/lander-4
550831,"2014-04-16 15:56:33",231101,/the-original-mr-fuzzy
550832,"2014-04-16 15:56:39",231102,/the-forever-love-bear
550833,"2014-04-16 15:56:52",231097,/billing-2
550834,"2014-04-16 15:56:56",231106,/home
550835,"2014-04-16 15:58:02",231107,/lander-4
550836,"2014-04-16 15:58:42",231091,/shipping
550837,"2014-04-16 15:59:37",231099,/shipping
550838,"2014-04-16 16:00:21",231106,/products
